Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
194,Rico Henry,eng ENG,DF,Brentford,25-140,1997,15,0,0,0,0.67,0.87,0.07,2.4,0.8,0.8,0,0,0,4.33,1.2,1.33,47.4,Matches,8a3c1dc7
195,Son Heung-min,kr KOR,MFFW,Tottenham,30-140,1992,11.4,0,0,0,0.61,1.32,0.53,5.7,0.44,0.35,0,0,0,2.19,0.35,0.61,36.4,Matches,92e7e919
196,Aaron Hickey,sct SCO,DF,Brentford,20-168,2002,7.5,0.53,0,0,0.93,2.27,0,1.73,1.33,1.87,0,0,0,4.27,0.53,0.53,50,Matches,1780bb4a
201,Pierre Højbjerg,dk DEN,MF,Tottenham,27-112,1995,13.8,0.07,0,0,0.72,0.72,0,0.43,1.38,0.51,0,0,0,7.17,0.43,0.22,66.7,Matches,8b04d6c1
203,Danny Ings,eng ENG,FW,Aston Villa,30-125,1992,8.1,0.37,0,0,0.86,0.62,0.99,0.37,0.12,0.49,0,0,0,2.1,1.6,1.23,56.5,Matches,07802f7f
205,Alex Iwobi,ng NGA,MF,Everton,26-206,1996,14.8,0.07,0,0,0.47,0.27,0.07,1.28,0.61,0.95,0,0,0,6.82,0.07,0.54,11.1,Matches,6ca5ec4b
208,Reece James,eng ENG,DFMF,Chelsea,22-352,1999,6.2,0.48,0,0,0.81,0.97,0.48,5.81,0.97,1.29,0,0,0,6.13,1.61,0.48,76.9,Matches,1265a93a
209,Vitaly Janelt,de GER,MFDF,Brentford,24-199,1998,11,0.09,0,0,0.91,1.27,0,0.91,1.27,1.18,0,0,0,7.09,1.36,1.09,55.6,Matches,8449d35e
210,Pontus Jansson,se SWE,DF,Brentford,31-285,1991,5.7,0,0,0,0.18,0.18,0.18,0,1.4,0.35,0,0,0,2.98,2.81,1.58,64,Matches,172e52d8
211,Mathias Jensen,dk DEN,MF,Brentford,26-328,1996,12.5,0.16,0,0,1.04,0.8,0.08,5.6,1.2,1.36,0,0,0,5.44,0.4,0.56,41.7,Matches,0f134faf
212,Gabriel Jesus,br BRA,FW,Arsenal,25-236,1997,13.5,0.3,0,0,1.78,2.81,0.59,0.52,0.59,1.19,0.07,0,0,3.11,1.78,3.41,34.3,Matches,b66315ae
214,Joelinton,br BRA,MFFW,Newcastle Utd,26-103,1996,11.8,0.42,0,0,1.86,1.02,0.08,0.85,1.36,1.78,0,0,0,6.44,1.95,2.2,46.9,Matches,c17bfb65
215,Ben Johnson,eng ENG,DF,West Ham,22-305,2000,5.4,0,0,0,0.19,0.37,0,1.67,0.93,1.11,0,0,0,6.67,1.48,0.93,61.5,Matches,9319781b
216,Brennan Johnson,wls WAL,FWMF,Nott'ham Forest,21-186,2001,13.2,0.15,0,0,0.91,0.38,0.68,1.67,0.15,0.53,0,0,0,2.58,0.76,2.05,27,Matches,0cd31129
218,Jorginho,it ITA,MF,Chelsea,30-340,1991,10,0.3,0,0,0.9,1.9,0,0.1,1.3,1.6,0,0,0,7.9,0.6,0.5,54.5,Matches,45db685d
220,James Justin,eng ENG,DF,Leicester City,24-275,1998,13.9,0,0,0,0.58,2.09,0.14,1.51,1.08,1.29,0.07,0,0,4.53,1.65,2.3,41.8,Matches,fb614c44
221,Mathias Jørgensen,dk DEN,DF,Brentford,32-216,1990,5.1,0,0,0,0.39,0.39,0.2,0.2,1.76,0.59,0,0,0.2,4.51,1.76,1.37,56.3,Matches,0db5d2c8
223,Boubacar Kamara,fr FRA,MF,Aston Villa,23-002,1999,7.4,0.27,0,0,2.3,1.08,0,0,0.54,1.76,0,0,0,7.43,1.35,1.22,52.6,Matches,cc77354e
224,Harry Kane,eng ENG,FW,Tottenham,29-120,1993,14.8,0.27,0,0,0.68,1.42,0.2,1.28,0.07,0.27,0.07,0,0,2.5,1.22,2.36,34,Matches,21a66f6a
227,Neeskens Kebano,cd COD,FW,Fulham,30-260,1992,7.9,0,0,0,1.01,1.9,0.25,2.53,0.13,0.63,0,0,0,5.44,0.13,1.52,7.7,Matches,18b999f4
228,Thilo Kehrer,de GER,DF,West Ham,26-065,1996,13,0.31,0,0,1.23,0.62,0,1,1.54,0.92,0,0.08,0.08,4.69,1.15,1.62,41.7,Matches,51dbeea9
229,Lloyd Kelly,eng ENG,DF,Bournemouth,24-050,1998,5,0,0,0,0.4,0.2,0,1,1.2,1,0,0.2,0,4.2,1.6,0.8,66.7,Matches,f31def1e
230,Max Kilman,eng ENG,DF,Wolves,25-186,1997,15,0,0,0,0.33,0.27,0,0,0.93,0.4,0,0,0,5.93,2.27,0.67,77.3,Matches,d0f72bf1
232,Robin Koch,de GER,DF,Leeds United,26-131,1996,13.5,0.22,0,0,1.26,0.37,0,0.07,1.33,0.89,0,0,0.07,5.63,2.67,1.41,65.5,Matches,ea6bc03a
234,Ezri Konsa,eng ENG,DF,Aston Villa,25-033,1997,14,0.14,0,0,0.36,1.64,0,0.21,0.86,0.43,0,0,0,4.43,1.93,1.21,61.4,Matches,0313a347
235,Kalidou Koulibaly,sn SEN,DF,Chelsea,31-158,1991,8.2,0.49,0.12,0.12,1.34,0.37,0,0.37,1.46,1.46,0,0,0,6.1,2.07,1.34,60.7,Matches,da974c7b
236,Cheikhou Kouyaté,sn SEN,MFDF,Nott'ham Forest,32-339,1989,7.8,0.26,0,0,1.92,0.9,0,0,0.64,2.05,0,0,0,5.77,1.79,0.64,73.7,Matches,8d3c902d
237,Mateo Kovačić,hr CRO,MF,Chelsea,28-203,1994,7.1,0.28,0,0,0.85,0.42,0,0.28,1.41,0.99,0,0,0,6.9,0.56,0.7,44.4,Matches,79c0821a
239,Dejan Kulusevski,se SWE,MFFW,Tottenham,22-214,2000,6.8,0,0,0,1.03,0.88,0.15,2.5,0.15,0.15,0,0,0,5.74,0.29,0.29,50,Matches,df3cda47
241,Adam Lallana,eng ENG,MFFW,Brighton,34-199,1988,5.4,0,0,0,0.37,0.74,0,0.56,0.37,0.74,0,0,0,4.07,1.11,1.11,50,Matches,99813635
247,Roméo Lavia,be BEL,MF,Southampton,18-323,2004,6.2,0.32,0,0,0.81,1.45,0,0,1.94,1.13,0,0,0,9.19,0.32,0.32,50,Matches,ecad9aa5
