Player,Nation,Pos,Squad,Born,Gls,xGp90
Ben Godfrey,eng ENG,DF,Everton,1998,0,0.16
João Gomes,br BRA,MFFW,Wolves,2001,1,0.05
Toti Gomes,pt POR,DF,Wolves,1999,0,0.02
Joe Gomez,eng ENG,DF,Liverpool,1997,0,0.01
Sergio Gómez,es ESP,DFMF,Manchester City,2000,0,0.13
Anthony Gordon,eng ENG,FWMF,Newcastle Utd,2001,0,0.17
Anthony Gordon,eng ENG,FW,Everton,2001,3,0.27
Demarai Gray,eng ENG,FWMF,Everton,1996,4,0.21
Jack Grealish,eng ENG,FW,Manchester City,1995,5,0.2
Sam Greenwood,eng ENG,MFFW,Leeds United,2002,1,0.17
Pascal Groß,de GER,MFDF,Brighton,1991,6,0.15
Vicente Guaita,es ESP,GK,Crystal Palace,1987,0,0
Gonçalo Guedes,pt POR,FWMF,Wolves,1996,1,0.15
Marc Guéhi,eng ENG,DF,Crystal Palace,2000,1,0.03
Bruno Guimarães,br BRA,MF,Newcastle Utd,1997,3,0.07
İlkay Gündoğan,de GER,MF,Manchester City,1990,4,0.26
Darko Gyabi,eng ENG,FW,Leeds United,2004,0,0.72
Erling Haaland,no NOR,FW,Manchester City,2000,33,0.93
Lewis Hall,eng ENG,DFMF,Chelsea,2004,0,0.14
Luke Harris,wls WAL,MFFW,Fulham,2005,0,0
Jack Harrison,eng ENG,FWMF,Leeds United,1996,4,0.17
Kai Havertz,de GER,FWMF,Chelsea,1999,7,0.42
Jan Paul van Hecke,nl NED,DF,Brighton,2000,0,0.61
Hwang Hee-chan,kr KOR,FWMF,Wolves,1996,2,0.17
Dean Henderson,eng ENG,GK,Nott'ham Forest,1997,0,0
Jordan Henderson,eng ENG,MF,Liverpool,1990,0,0.06
Wayne Hennessey,wls WAL,GK,Nott'ham Forest,1987,0,0
Rico Henry,eng ENG,DF,Brentford,1997,0,0.05
Son Heung-min,kr KOR,MFFW,Tottenham,1992,8,0.28
Aaron Hickey,sct SCO,DF,Brentford,2002,0,0.02
Joseph Hodge,ie IRL,MF,Wolves,2002,0,0.06
Rob Holding,eng ENG,DF,Arsenal,1995,1,0.05
Mason Holgate,eng ENG,DF,Everton,1996,0,0.06
Will Hughes,eng ENG,MF,Crystal Palace,1995,0,0.03
Omari Hutchinson,eng ENG,FW,Chelsea,2003,0,0
Pierre Højbjerg,dk DEN,MF,Tottenham,1995,4,0.05
Kelechi Iheanacho,ng NGA,FWMF,Leicester City,1996,5,0.62
Danny Ings,eng ENG,FW,West Ham,1992,2,0.37
Danny Ings,eng ENG,FW,Aston Villa,1992,6,0.59
Alexander Isak,se SWE,FW,Newcastle Utd,1999,10,0.66
Daniel Iversen,dk DEN,GK,Leicester City,1997,0,0
Alex Iwobi,ng NGA,MFFW,Everton,1996,1,0.06
Daniel James,wls WAL,FW,Leeds United,1997,0,0.12
Daniel James,wls WAL,FW,Fulham,1997,2,0.26
Reece James,eng ENG,DFMF,Chelsea,1999,1,0.07
Vitaly Janelt,de GER,MFDF,Brentford,1998,3,0.11
Pontus Jansson,se SWE,DF,Brentford,1991,1,0.04
Mathias Jensen,dk DEN,MF,Brentford,1996,5,0.07
Gabriel Jesus,br BRA,FW,Arsenal,1997,9,0.71
Raúl Jiménez,mx MEX,FW,Wolves,1991,0,0.31
Joelinton,br BRA,MFFW,Newcastle Utd,1996,5,0.26
Ben Johnson,eng ENG,DF,West Ham,2000,0,0
Brennan Johnson,wls WAL,FWMF,Nott'ham Forest,2001,8,0.29
Sam Johnstone,eng ENG,GK,Crystal Palace,1993,0,0
Curtis Jones,eng ENG,MF,Liverpool,2001,0,0.05
Jorginho,it ITA,MF,Arsenal,1991,0,0.02
Jorginho,it ITA,MF,Chelsea,1991,2,0.12
Mateo Joseph,eng ENG,FWMF,Leeds United,2003,0,0.4
Diogo Jota,pt POR,FW,Liverpool,1996,4,0.51
Hamed Junior Traorè,ci CIV,FWMF,Bournemouth,2000,0,0.19
