Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
480,Mohamed Youssouf,km COM,DF,Ajaccio,34-244,1988,9.4,0.11,0,0,2.02,1.06,0,5.11,2.13,1.06,0,0,0,5.11,2.23,1.91,53.8,Matches,1a85bcdb
67,Miha Blažič,si SVN,DF,Angers,29-201,1993,9.5,0,0,0,0.53,0.84,0,0,0.53,0.32,0,0,0.11,6.32,1.79,0.74,70.8,Matches,3cdfc63e
412,Alexis Sánchez,cl CHI,FW,Marseille,33-341,1988,9.5,0.11,0,0,1.89,1.58,0.63,1.16,0.11,0.74,0,0,0,2.53,1.47,2.53,36.8,Matches,2c0f8e9e
464,Vanderson,br BRA,DF,Monaco,21-157,2001,9.5,0.21,0.11,0.11,1.79,0.74,0,3.68,2.74,1.79,0,0,0,6.21,1.16,1.05,52.4,Matches,ee45fd85
27,Mathias Autret,fr FRA,MFFW,Auxerre,31-269,1991,9.6,0,0,0,0.31,0.1,0.1,3.75,0.63,0.83,0,0,0,4.69,0.21,0.94,18.2,Matches,7dfbba27
249,Paul Joly,fr FRA,DF,Auxerre,22-171,2000,9.6,0.21,0,0,0.73,0.94,0,3.75,2.5,2.19,0.1,0,0,8.65,0.63,1.15,35.3,Matches,5b4bc323
415,Muhammed Saracevic Cham,at AUT,MF,Clermont Foot,22-060,2000,9.6,0,0,0,1.15,2.29,0,3.02,0.52,0.73,0,0,0,5,0.31,0.21,60,Matches,f527a32c
425,Lassine Sinayoko,ml MLI,MFFW,Auxerre,22-352,1999,9.6,0.21,0.1,0.1,1.35,1.15,0.31,1.88,0.73,1.04,0,0,0,6.35,1.04,2.19,32.3,Matches,5e5249c8
156,Krepin Diatta,sn SEN,MFFW,Monaco,23-273,1999,9.7,0.21,0,0,1.03,1.03,0.21,2.06,0.72,0.31,0.1,0,0,3.71,1.96,1.44,57.6,Matches,8104e41e
442,Florian Tardieu,fr FRA,MF,Troyes,30-217,1992,9.7,0.21,0,0,1.13,1.86,0,4.33,2.37,1.86,0,0,0,7.94,0.72,0.52,58.3,Matches,ed39121c
446,Tetê,br BRA,FWMF,Lyon,22-283,2000,9.7,0.21,0,0,0.93,1.75,0.31,4.12,0.93,0.72,0.1,0,0,4.02,0.31,0.93,25,Matches,7120a04d
402,Falaye Sacko,ml MLI,DF,Montpellier,27-208,1995,9.8,0.1,0,0,0.82,0.82,0.31,1.43,1.43,0.71,0,0.2,0.1,5.61,0.2,0.61,25,Matches,6388e356
373,Nicolas Pépé,ci CIV,FWMF,Nice,27-180,1995,9.9,0,0,0,0.81,2.12,0.2,2.53,0.1,0.4,0.2,0,0,5.15,0.51,0.61,45.5,Matches,57e3f0c7
131,Thijs Dallinga,nl NED,FW,Toulouse,22-114,2000,10,0.3,0,0,1.5,0.6,1.2,1,0.1,0.3,0,0,0,2,2,1.4,58.8,Matches,b70afb45
251,Christopher Jullien,fr FRA,DF,Montpellier,29-248,1993,10,0.1,0,0,1.4,0.2,0,0,1.2,1,0,0,0,4.7,2.9,1.7,63,Matches,f323d995
346,Marshall Munetsi,zw ZIM,MF,Reims,26-156,1996,10,0.4,0,0,2,1.7,0.2,0.7,1.5,0.9,0,0,0,6.6,1.6,1.2,57.1,Matches,2acf0cd7
243,Junya Ito,jp JPN,FW,Reims,29-261,1993,10.1,0,0.1,0,0.79,1.58,0.89,4.75,0.4,0.5,0,0,0,4.26,0.4,0.79,33.3,Matches,dbd3a428
450,Khéphren Thuram-Ulie,fr FRA,MF,Nice,21-244,2001,10.1,0.1,0,0,1.49,0.4,0,0.69,0.99,1.09,0,0,0,4.95,0.59,0.89,40,Matches,7d9397f8
42,Melvin Bard,fr FRA,DF,Nice,22-019,2000,10.3,0.29,0,0,0.97,0.78,0,2.52,2.04,1.84,0,0,0,5.53,1.36,1.07,56,Matches,1ddbc7ca
99,Jean-Charles Castelletto,cm CMR,DF,Nantes,27-303,1995,10.3,0.1,0,0,0.58,1.07,0,0.39,2.23,0.97,0,0.1,0,6.89,3.3,1.46,69.4,Matches,e0f3a1f6
152,Ismael Diallo,ci CIV,DF,Ajaccio,25-300,1997,10.3,0.29,0,0,1.75,1.17,0,1.55,0.78,0.87,0,0,0,6.21,0.87,0.49,64.3,Matches,b3244eeb
296,Jordan Lotomba,ch SUI,DFMF,Nice,24-057,1998,10.3,0.19,0,0,0.49,0.68,0,1.84,1.07,0.97,0,0,0,3.88,0.97,0.87,52.6,Matches,fc4cf6a7
214,Oumar Gonzalez,cm CMR,DF,Ajaccio,24-273,1998,10.5,0.57,0,0,1.43,1.33,0.1,0.19,2.19,1.24,0,0,0,6,2.1,2.1,50,Matches,a9d4c241
303,Yohann Magnin,fr FRA,MFDF,Clermont Foot,25-157,1997,10.5,0.38,0,0,1.62,1.62,0.19,1.24,1.43,2,0,0.29,0,5.71,0.95,1.14,45.5,Matches,caa7aaea
362,Loïs Openda,be BEL,FW,Lens,22-282,2000,10.5,0.1,0,0,1.43,2.19,0.57,0.95,0.1,0.19,0,0,0,2.38,0.48,0.67,41.7,Matches,8652a85c
376,Mathias Pereira Lage,pt POR,MFFW,Brest,25-360,1996,10.5,0.1,0,0,1.62,2,0.1,2.1,1.24,0.48,0.1,0,0,5.33,1.52,1.81,45.7,Matches,8846a40f
113,Joris Chotard,fr FRA,MF,Montpellier,21-062,2001,10.6,0.28,0,0,1.51,0.57,0.19,0.75,1.42,0.94,0,0,0,6.6,0.28,0.57,33.3,Matches,7909ffa4
382,Jackson Porozo,ec ECU,DF,Troyes,22-113,2000,10.6,0.19,0,0,1.51,1.04,0.09,0.28,1.89,0.85,0,0,0,3.68,2.74,1.42,65.9,Matches,7d704e92
210,Aleksandr Golovin,ru RUS,MFFW,Monaco,26-179,1996,10.7,0.09,0,0,1.12,1.03,0.37,3.74,1.21,1.31,0,0,0,5.23,0.56,1.03,35.3,Matches,3708e9fa
242,Ismaily,br BRA,DF,Lille,32-318,1990,10.7,0,0,0,0.47,0.84,0.09,1.03,1.12,0.75,0.09,0,0,5.42,1.78,1.12,61.3,Matches,cf182add
283,Maxime Le Marchand,fr FRA,DF,Strasbourg,33-045,1989,10.7,0.47,0.09,0.09,1.59,0.37,0,0.75,1.87,1.5,0,0.19,0,6.17,2.8,1.31,68.2,Matches,321a71a7
284,Pierre Lees-Melou,fr FRA,MF,Brest,29-184,1993,10.7,0.28,0.09,0,1.78,1.21,0,0.75,1.59,1.5,0,0.09,0,7.48,0.65,0.56,53.8,Matches,f5044e54
9,Emmanuel Agbadou,ci CIV,DF,Reims,25-161,1997,10.8,0.19,0.19,0,1.39,0.28,0,0,1.2,1.67,0,0,0,8.06,2.13,1.39,60.5,Matches,75f1ed80
96,Maxence Caqueret,fr FRA,MF,Lyon,22-283,2000,10.8,0.09,0,0,1.57,0.93,0.19,2.04,0.93,1.67,0,0,0,8.43,0.65,0.74,46.7,Matches,f81ef10d
123,David Pereira da Costa,pt POR,MFFW,Lens,21-324,2001,10.9,0.09,0,0,0.64,1.01,0,2.39,0.64,0.37,0.09,0,0,3.3,0.28,0.73,27.3,Matches,59948ef7
465,Jordan Veretout,fr FRA,MF,Marseille,29-269,1993,10.9,0.09,0,0,1.38,0.64,0.09,1.93,1.56,1.47,0,0,0,7.16,0.73,1.01,42.1,Matches,4a56052c
73,Neto Borges,br BRA,DF,Clermont Foot,26-073,1996,11,0.18,0.09,0.09,0.55,1.64,0.18,3.27,1.36,1.64,0,0.09,0,4.45,0.91,0.64,58.8,Matches,9f936061
300,Deiver Machado,co COL,DFMF,Lens,29-084,1993,11.1,0.18,0.09,0,1.71,2.25,0.27,2.7,1.08,1.62,0.09,0,0,4.59,0.36,1.26,22.2,Matches,b3f8bdef
20,Komnen Andrić,rs SRB,FW,Clermont Foot,27-147,1995,11.2,0.27,0,0,0.89,2.5,0.45,0.09,0.71,0.36,0.09,0,0,2.14,2.77,2.77,50,Matches,af3ddb2e
147,Mikkel Desler,dk DEN,DF,Toulouse,27-279,1995,11.2,0.18,0.09,0.09,1.07,0.8,0.27,1.96,1.34,1.88,0,0,0,5.8,0.8,0.27,75,Matches,1d5c96f8
199,Przemysław Frankowski,pl POL,DFMF,Lens,27-227,1995,11.2,0.09,0,0,1.52,0.54,0.27,8.21,1.52,1.34,0,0,0,4.73,0.45,0.54,45.5,Matches,00a8d210
386,Sergio Ramos,es ESP,DF,Paris S-G,36-240,1986,11.2,0.27,0.09,0,1.25,1.07,0.18,0.8,1.34,0.89,0,0,0,6.16,1.7,0.89,65.5,Matches,08511d65
292,Anthony Lopes,pt POR,GK,Lyon,32-055,1990,11.3,0,0.09,0,0.09,0.09,0,0,0.09,0,0,0.09,0,0.8,0.09,0,100,Matches,f00de885
417,Téji Savanier,fr FRA,MF,Montpellier,30-338,1991,11.3,0.18,0.09,0,1.5,3.19,0,8.23,0.97,1.24,0,0,0,7.52,0.53,0.97,35.3,Matches,6bde367b
452,Karl Toko Ekambi,cm CMR,FWMF,Lyon,30-072,1992,11.4,0.09,0,0,0.61,0.35,0.18,1.49,0.61,0.44,0,0,0,4.47,1.23,2.11,36.8,Matches,5ceba7fc
218,Andrew Gravillon,gp GLP,DF,Reims,24-290,1998,11.5,0.26,0,0,1.57,1.22,0,1.39,1.83,0.7,0,0,0,5.57,1.13,1.04,52,Matches,49136c42
332,Batista Mendy,fr FRA,MFDF,Angers,22-317,2000,11.5,0.52,0.09,0.09,2.17,1.13,0,0.09,0.7,1.22,0,0.09,0,6.96,0.78,0.87,47.4,Matches,e472a6f6
338,Terem Moffi,ng NGA,FW,Lorient,23-184,1999,11.5,0.09,0,0,0.96,1.3,0.26,0.26,0.09,0.43,0,0,0,2.52,1.13,3.3,25.5,Matches,065dc209
440,Flavien Tait,fr FRA,MF,Rennes,29-296,1993,11.6,0.17,0,0,1.38,1.12,0,0.43,0.6,1.12,0,0,0,7.07,0.34,0.52,40,Matches,a0f9b535
222,Mattéo Guendouzi,fr FRA,MF,Marseille,23-225,1999,11.7,0.17,0,0,1.45,1.88,0,1.11,0.94,0.68,0,0,0.09,6.5,0.77,1.54,33.3,Matches,5ea8ef20
291,Banzouzi Locko,fr FRA,DF,Reims,20-203,2002,11.7,0.26,0.09,0,0.85,0.77,0.09,1.11,1.71,1.37,0,0,0,6.5,1.03,0.68,60,Matches,40221fa7
