Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
147,Fali,es ESP,DFMF,Cádiz,29-105,1993,6.2,0.32,0,0,0.48,0.97,0,0,0.48,0.97,0,0,0,5.32,1.29,1.29,50,Matches,72a84002
148,Ansu Fati,es ESP,FW,Barcelona,20-025,2002,5.2,0,0,0,0.96,0.96,1.15,0.77,0.58,0.96,0,0,0,4.23,0.38,0.96,28.6,Matches,0ba976e4
153,João Félix,pt POR,FW,Atlético Madrid,23-015,1999,5.7,0.88,0,0,2.46,2.98,0.53,1.4,0.53,0.88,0,0,0,2.11,1.05,1.23,46.2,Matches,8aafd64f
154,Kiko Femenía,es ESP,DF,Villarreal,31-296,1991,9.4,0,0,0,0.64,0.64,0,2.55,1.49,0.32,0,0,0,4.04,0.64,0.21,75,Matches,e5d01ecf
156,Álex Fernández,es ESP,MFFW,Cádiz,30-041,1992,7.8,0,0,0,0.26,0.64,0,1.92,0.51,0.26,0,0,0,3.85,0.77,0.64,54.5,Matches,aa677a35
160,Joaquín Fernández,es ESP,DF,Valladolid,26-178,1996,10.6,0.19,0,0,0.66,0.47,0.19,0,1.13,1.23,0,0,0,3.4,2.17,1.32,62.2,Matches,b86a64b2
161,Fernando,es ESP,GK,Almería,32-168,1990,13,0.08,0,0,0,0.23,0,0,0,0,0,0,0,1.15,0,0,,Matches,dabb2827
162,Fernando,br BRA,MFDF,Sevilla,35-123,1987,5.5,0.36,0,0,0.91,0.73,0,0.36,1.64,1.64,0,0,0,7.45,0.36,0.91,28.6,Matches,41f32541
166,Iván Fresneda,es ESP,DF,Valladolid,18-058,2004,5.2,0,0,0,0.58,0.58,0,3.27,1.54,1.92,0,0,0,5,0.58,0.77,42.9,Matches,29d0f2ac
167,Javi Galán,es ESP,DF,Celta Vigo,28-006,1994,13.9,0.14,0,0,1.44,2.23,0.29,4.1,0.58,2.09,0,0,0,6.19,0.72,0.65,52.6,Matches,a4b00319
168,Iñigo Ruiz de Galarreta,es ESP,MF,Mallorca,29-111,1993,9.5,0.53,0,0,2.21,1.68,0,1.26,1.16,1.79,0,0,0,6.21,0.32,0.63,33.3,Matches,91f7631f
169,Aleix García,es ESP,MF,Girona,25-150,1997,13.8,0.07,0,0,0.8,1.3,0,6.81,1.23,0.51,0,0,0,4.35,0.51,0.22,70,Matches,a10361d2
170,Álvaro García,es ESP,FW,Rayo Vallecano,30-029,1992,12.2,0.16,0,0,1.31,1.15,0.33,4.67,0.57,0.74,0.08,0,0,5,0.33,0.33,50,Matches,90bbd822
172,David García,es ESP,DF,Osasuna,28-284,1994,11.5,0.52,0.09,0,1.91,0.96,0,0.09,1.65,0.7,0,0.09,0,4.78,2.61,1.39,65.2,Matches,3e42f707
173,Eric García,es ESP,DF,Barcelona,21-320,2001,6.8,0.29,0,0,1.62,0.15,0,0,1.32,1.03,0,0.15,0,5.88,1.18,0.59,66.7,Matches,2bed3eab
174,Francisco Garcia,es ESP,DF,Rayo Vallecano,23-103,1999,14,0,0,0,0.79,0.64,0.14,5.14,1.14,1,0,0.07,0,5.43,0.14,0.79,15.4,Matches,7226539b
177,Unai García,es ESP,DF,Osasuna,30-295,1992,12.4,0.32,0.08,0,0.97,0.16,0,0.16,1.29,0.56,0,0.08,0,4.76,1.69,1.45,53.8,Matches,4a633cfe
179,Gavi,es ESP,MF,Barcelona,18-112,2004,8.9,0.22,0,0,3.82,1.91,0.45,2.13,1.01,1.24,0,0,0,4.83,1.35,0.79,63.2,Matches,19cae58d
181,Óscar Gil,es ESP,DF,Espanyol,25-213,1997,9.6,0.42,0,0,1.77,1.46,0,1.77,0.94,1.35,0,0,0,3.65,0.42,1.67,20,Matches,6652cf96
185,Moi Gómez,es ESP,MFFW,Osasuna,28-155,1994,12.7,0.16,0,0,0.55,0.79,0.08,5.2,0.47,0.47,0,0,0,5.28,0.39,1.18,25,Matches,5a626448
186,Papu Gómez,ar ARG,FWMF,Sevilla,34-283,1988,7.2,0.56,0,0,0.56,1.81,0.28,3.33,0.56,0.56,0,0.14,0,3.47,0.28,0.42,40,Matches,6e4df551
187,Sergi Gómez,es ESP,DF,Espanyol,30-242,1992,9.9,0,0.1,0,0.51,0.2,0,0.2,1.21,0.51,0,0,0,4.65,1.31,1.62,44.8,Matches,bc6f5f06
189,Édgar González,es ESP,DF,Betis,25-238,1997,9.4,0.43,0.11,0.11,0.64,0.85,0,0,1.06,1.17,0,0,0,4.26,2.77,1.06,72.2,Matches,49d028db
191,Nicolás González,es ESP,MF,Valencia,20-326,2002,5.7,0.18,0,0,1.93,0.88,0,0.18,0.7,0.88,0,0.18,0.18,6.49,1.58,1.58,50,Matches,2c56a792
193,Andoni Gorosabel,es ESP,DF,Real Sociedad,26-113,1996,7.9,0.25,0,0,0.63,0.76,0,2.03,0.89,0.89,0,0,0,3.54,0.63,1.65,27.8,Matches,6f5f82c0
196,Antoine Griezmann,fr FRA,FWMF,Atlético Madrid,31-249,1991,8.6,0,0,0,0.81,1.16,0.35,6.4,0.81,1.28,0,0,0,5.23,0.81,1.05,43.8,Matches,df69b544
197,Arnaut Groeneveld,nl NED,FW,Villarreal,25-298,1997,5.3,0,0,0,0.38,1.32,0.57,1.13,0,0.57,0,0,0,1.7,0,0.57,0,Matches,f08490a6
200,Nemanja Gudelj,rs SRB,DFMF,Sevilla,31-009,1991,11.5,0.35,0,0,0.78,0.96,0,0,0.87,0.87,0,0,0,2.78,1.39,0.61,69.6,Matches,0076ab7f
202,Hugo Guillamón,es ESP,MF,Valencia,22-298,2000,10.2,0.39,0,0,2.16,2.35,0,2.06,0.98,0.39,0,0.1,0.1,5.69,1.18,1.08,52.2,Matches,f7c12fbf
203,Gerard Gumbau,es ESP,MF,Elche,27-342,1994,9.2,0.54,0,0,2.07,0.65,0,4.46,0.65,0.76,0,0,0,4.89,0.54,0.98,35.7,Matches,ac454a4f
205,Raúl Guti,es ESP,MF,Elche,25-330,1996,7.2,0.14,0,0,0.56,1.94,0,0.28,0.97,1.11,0,0,0,5.14,0.28,0.42,40,Matches,0b2c8585
206,Miguel Gutiérrez,es ESP,DF,Girona,21-121,2001,10.1,0.3,0,0,0.79,0.79,0,3.96,0.5,0.59,0,0,0,5.64,0,0.5,0,Matches,7e98cff1
209,Luiz Henrique,br BRA,FW,Betis,21-327,2001,8.2,0.12,0,0,0.49,1.83,0.24,1.22,0.73,1.95,0,0,0,5,1.22,2.56,32.3,Matches,8059806f
212,Luis Hernández,es ESP,DF,Cádiz,33-225,1989,12,0.17,0.08,0.08,0.58,0.17,0.17,0.42,0.92,0.42,0,0,0,4.33,1.33,0.92,59.3,Matches,02d2c436
214,Sergio Herrera,es ESP,GK,Osasuna,29-173,1993,10,0.3,0,0,0.1,0.1,0,0,0.1,0,0,0.1,0,0.8,0.2,0.1,66.7,Matches,a4995f48
215,Yangel Herrera,ve VEN,MF,Girona,24-322,1998,7,0.14,0,0,3,2.14,0.14,2.14,0.29,1,0,0,0,4.29,1.29,2.86,31,Matches,e778654a
218,Iglesias,es ESP,DF,Getafe,24-145,1998,11.4,0.26,0,0,1.75,0.96,0,4.04,0.7,1.58,0,0,0,5.61,0.44,0.44,50,Matches,974322dc
219,Borja Iglesias,es ESP,FW,Betis,29-312,1993,10.6,0,0.09,0,2.26,2.64,0.85,0,0,0.38,0,0,0,1.6,0.85,1.42,37.5,Matches,75645f0e
222,Isco,es ESP,MFFW,Sevilla,30-218,1992,8.9,0.56,0,0,1.24,3.82,0.67,2.02,1.12,1.01,0,0,0,5.39,0.56,1.57,26.3,Matches,a0b4bb3e
223,Nicolas Jackson,sn SEN,FW,Villarreal,21-158,2001,8.6,0.12,0,0,2.33,1.28,0.58,0.47,0.12,0.7,0,0,0,3.14,0.47,1.86,20,Matches,9c36ed83
227,Frenkie de Jong,nl NED,MF,Barcelona,25-197,1997,10,0,0,0,1.2,1.2,0.1,0.7,1.6,1,0,0,0,7.1,0.6,0.4,60,Matches,1bacc518
