Player,Nation,Pos,Squad,Age,Born,Gls,xGp90
Rico Lewis,eng ENG,DFMF,Manchester City,18-157,2004,0,0.02
Keane Lewis-Potter,eng ENG,FWMF,Brentford,22-064,2001,0,0.14
Victor Lindelöf,se SWE,DF,Manchester Utd,28-284,1994,0,0.01
Jesse Lingard,eng ENG,FWMF,Nott'ham Forest,30-133,1992,0,0.1
Diego Llorente,es ESP,DF,Leeds United,29-254,1993,0,0.1
Hugo Lloris,fr FRA,GK,Tottenham,36-122,1986,0,0
Renan Lodi,br BRA,DF,Nott'ham Forest,25-019,1998,0,0.04
Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,27-094,1996,0,0.06
Sean Longstaff,eng ENG,MF,Newcastle Utd,25-179,1997,1,0.13
Jamal Lowe,jm JAM,MFFW,Bournemouth,28-280,1994,0,0
Douglas Luiz,br BRA,MF,Aston Villa,24-353,1998,4,0.09
Saša Lukić,rs SRB,MF,Fulham,26-257,1996,0,0.04
Lyanco,br BRA,DF,Southampton,26-085,1997,0,0.03
Alexis Mac Allister,ar ARG,MF,Brighton,24-124,1998,8,0.38
James Maddison,eng ENG,MFFW,Leicester City,26-155,1996,9,0.24
Noni Madueke,eng ENG,FWDF,Chelsea,21-048,2002,0,0.12
Harry Maguire,eng ENG,DF,Manchester Utd,30-053,1993,0,0.04
Riyad Mahrez,dz ALG,FWMF,Manchester City,32-065,1991,5,0.35
Kobbie Mainoo,eng ENG,MF,Manchester Utd,18-008,2005,0,0
Ainsley Maitland-Niles,eng ENG,DFMF,Southampton,25-241,1997,0,0
Tyrell Malacia,nl NED,DF,Manchester Utd,23-253,1999,0,0.02
Orel Mangala,be BEL,MF,Nott'ham Forest,25-040,1998,1,0.05
Javier Manquillo,es ESP,DF,Newcastle Utd,28-357,1994,0,0
Sekou Mara,fr FRA,FWMF,Southampton,20-271,2002,1,0.18
Solly March,eng ENG,FWDF,Brighton,28-281,1994,7,0.27
Emiliano Marcondes,dk DEN,MF,Bournemouth,28-049,1995,0,0
Marquinhos,br BRA,MF,Arsenal,20-020,2003,0,0
Anthony Martial,fr FRA,FW,Manchester Utd,27-143,1995,4,0.62
Martinelli,br BRA,FW,Arsenal,21-313,2001,15,0.3
Emiliano Martínez,ar ARG,GK,Aston Villa,30-237,1992,0,0
Lisandro Martínez,ar ARG,DF,Manchester Utd,25-099,1998,1,0.02
Pape Matar Sarr,sn SEN,MF,Tottenham,20-225,2002,0,0.03
Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,25-303,1997,2,0.4
Joël Matip,cm CMR,DF,Liverpool,31-262,1991,1,0.06
Neal Maupay,fr FRA,FW,Everton,26-256,1996,1,0.37
Kevin Mbabu,ch SUI,DFFW,Fulham,28-008,1995,0,0
Bryan Mbeumo,cm CMR,FW,Brentford,23-263,1999,6,0.28
James McArthur,sct SCO,MF,Crystal Palace,35-202,1987,0,0
John McGinn,sct SCO,MFFW,Aston Villa,28-191,1994,1,0.09
Scott McKenna,sct SCO,DF,Nott'ham Forest,26-166,1996,0,0
Weston McKennie,us USA,MF,Leeds United,24-242,1998,0,0.04
Dwight McNeil,eng ENG,FWMF,Everton,23-156,1999,4,0.07
Scott McTominay,sct SCO,MF,Manchester Utd,26-140,1996,1,0.1
Ben Mee,eng ENG,DF,Brentford,33-218,1989,3,0.07
Edouard Mendy,sn SEN,GK,Chelsea,31-057,1992,0,0
Nampalys Mendy,sn SEN,MF,Leicester City,30-308,1992,1,0.02
Chris Mepham,wls WAL,DF,Bournemouth,25-173,1997,0,0.03
Illan Meslier,fr FRA,GK,Leeds United,23-056,2000,0,0
Alexander Mighten,eng ENG,FW,Nott'ham Forest,21-016,2002,0,0
Luka Milivojević,rs SRB,MF,Crystal Palace,32-020,1991,0,0.06
James Milner,eng ENG,MFDF,Liverpool,37-113,1986,0,0.04
Yerry Mina,co COL,DF,Everton,28-216,1994,1,0.09
Tyrone Mings,eng ENG,DF,Aston Villa,30-045,1993,1,0.02
Tyrick Mitchell,eng ENG,DF,Crystal Palace,23-238,1999,0,0.02
Kaoru Mitoma,jp JPN,FW,Brighton,25-342,1997,7,0.25
