Player,Nation,Pos,Squad,Age,Born,Gls,xGp90
Aleksandar Mitrović,rs SRB,FW,Fulham,28-223,1994,11,0.61
Kieffer Moore,wls WAL,FW,Bournemouth,30-262,1992,4,0.29
Andrew Moran,ie IRL,FW,Brighton,19-194,2003,0,0
Álex Moreno,es ESP,DF,Aston Villa,29-323,1993,0,0.04
Mason Mount,eng ENG,MFFW,Chelsea,24-107,1999,3,0.11
Lucas Moura,br BRA,MFDF,Tottenham,30-257,1992,0,0.06
João Moutinho,pt POR,MF,Wolves,36-231,1986,0,0.07
Divin Mubama,eng ENG,FW,West Ham,18-184,2004,0,0
Mykhailo Mudryk,ua UKR,FWMF,Chelsea,22-112,2001,0,0.22
Jacob Murphy,eng ENG,FW,Newcastle Utd,28-062,1995,3,0.16
Enock Mwepu,zm ZAM,FWMF,Brighton,25-116,1998,0,0.09
Vitaliy Mykolenko,ua UKR,DFMF,Everton,23-333,1999,0,0.02
Keylor Navas,cr CRC,GK,Nott'ham Forest,36-133,1986,0,0
Wilfred Ndidi,ng NGA,MFDF,Leicester City,26-132,1996,0,0.01
Reiss Nelson,eng ENG,FW,Arsenal,23-138,1999,3,0.58
Neto,br BRA,GK,Bournemouth,33-282,1989,0,0
Pedro Neto,pt POR,FWMF,Wolves,23-049,2000,0,0.12
Rúben Neves,pt POR,MF,Wolves,26-045,1997,6,0.18
Moussa Niakhate,sn SEN,DF,Nott'ham Forest,27-050,1996,0,0.04
Rasmus Nissen,dk DEN,DF,Leeds United,25-290,1997,2,0.04
Eddie Nketiah,eng ENG,FW,Arsenal,23-332,1999,4,0.65
Matheus Nunes,pt POR,MF,Wolves,24-243,1998,1,0.09
Darwin Núñez,uy URU,FW,Liverpool,23-307,1999,9,0.67
Ethan Nwaneri,eng ENG,FW,Arsenal,16-037,2007,0,0
Christian Nørgaard,dk DEN,MF,Brentford,29-048,1994,1,0.08
Lewis O'Brien,eng ENG,MF,Nott'ham Forest,24-195,1998,1,0.05
Odeluga Offiah,eng ENG,DF,Brighton,20-183,2002,0,0
Angelo Ogbonna,it ITA,DF,West Ham,34-339,1988,0,0.03
Michael Olise,fr FRA,FWMF,Crystal Palace,21-136,2001,2,0.1
Robin Olsen,se SWE,GK,Aston Villa,33-109,1990,0,0
Amadou Onana,be BEL,MF,Everton,21-254,2001,1,0.12
Josh Onomah,eng ENG,MF,Fulham,26-000,1997,0,0
Paul Onuachu,ng NGA,FW,Southampton,28-334,1994,0,0.11
Frank Onyeka,ng NGA,MF,Brentford,25-116,1998,0,0.12
Mislav Oršić,hr CRO,MF,Southampton,30-119,1992,0,0
Dango Ouattara,bf BFA,MFFW,Bournemouth,21-075,2002,1,0.3
Alex Oxlade-Chamberlain,eng ENG,FWMF,Liverpool,29-255,1993,1,0.35
David Ozoh,,FW,Crystal Palace,17-331,2005,0,0
João Palhinha,pt POR,MF,Fulham,27-292,1995,3,0.08
Cole Palmer,eng ENG,FWMF,Manchester City,20-356,2002,0,0.04
Emerson Palmieri,it ITA,DF,West Ham,28-267,1994,1,0.06
Lucas Paquetá,br BRA,MF,West Ham,25-243,1997,4,0.2
Thomas Partey,gh GHA,MF,Arsenal,29-318,1993,3,0.09
Nathan Patterson,sct SCO,DFMF,Everton,21-193,2001,0,0.04
Ben Pearson,eng ENG,MF,Bournemouth,28-113,1995,0,0.01
Facundo Pellistri,uy URU,FWMF,Manchester Utd,21-128,2001,0,0
Andreas Pereira,br BRA,MF,Fulham,27-116,1996,4,0.25
Ricardo Pereira,pt POR,DFMF,Leicester City,29-203,1993,1,0.03
Ayoze Pérez,es ESP,MFFW,Leicester City,29-272,1993,0,0.27
Ivan Perišić,hr CRO,DFMF,Tottenham,34-084,1989,1,0.12
Romain Perraud,fr FRA,DF,Southampton,25-217,1997,2,0.06
Máximo Perrone,ar ARG,MF,Manchester City,20-110,2003,0,0
Kalvin Phillips,eng ENG,MF,Manchester City,27-146,1995,0,0.09
Nathaniel Phillips,eng ENG,DF,Liverpool,26-037,1997,0,0.06
Jordan Pickford,eng ENG,GK,Everton,29-051,1994,0,0
Ethan Pinnock,jm JAM,DF,Brentford,29-333,1993,2,0.1
Daniel Podence,pt POR,FWMF,Wolves,27-188,1995,6,0.19
Nick Pope,eng ENG,GK,Newcastle Utd,31-008,1992,0,0
Pedro Porro,es ESP,DFMF,Tottenham,23-226,1999,1,0.15
Dennis Praet,be BEL,MFFW,Leicester City,28-348,1994,1,0.15
Isaac Price,nir NIR,MF,Everton,19-213,2003,0,0
Christian Pulisic,us USA,FWDF,Chelsea,24-221,1998,1,0.16
Aaron Ramsdale,eng ENG,GK,Arsenal,24-348,1998,0,0
Jacob Ramsey,eng ENG,MFFW,Aston Villa,21-334,2001,4,0.13
Marcus Rashford,eng ENG,FW,Manchester Utd,25-178,1997,15,0.45
David Raya,es ESP,GK,Brentford,27-224,1995,0,0
Tim Ream,us USA,DF,Fulham,35-204,1987,1,0.01
Nathan Redmond,eng ENG,DF,Southampton,29-052,1994,0,0
Harrison Reed,eng ENG,MF,Fulham,28-090,1995,3,0.06
Bobby Reid,jm JAM,FWDF,Fulham,30-084,1993,4,0.15
Declan Rice,eng ENG,MF,West Ham,24-103,1999,3,0.07
Chris Richards,us USA,DF,Crystal Palace,23-030,2000,0,0.14
Richarlison,br BRA,MFFW,Tottenham,25-352,1997,0,0.27
Jaïro Riedewald,nl NED,DFFW,Crystal Palace,26-230,1996,0,0
Matt Ritchie,sct SCO,FWMF,Newcastle Utd,33-229,1989,0,0
Andrew Robertson,sct SCO,DF,Liverpool,29-047,1994,0,0.05
Antonee Robinson,us USA,DF,Fulham,25-262,1997,0,0
Marc Roca,es ESP,MF,Leeds United,26-152,1996,1,0.08
Marek Rodák,sk SVK,GK,Fulham,26-135,1996,0,0
Rodri,es ESP,MF,Manchester City,26-309,1996,2,0.15
Rodrigo,es ESP,FWMF,Leeds United,32-052,1991,11,0.42
Mads Roerslev,dk DEN,DF,Brentford,23-307,1999,0,0.03
Cristian Romero,ar ARG,DF,Tottenham,25-000,1998,0,0.03
Oriol Romeu,es ESP,MF,Southampton,31-215,1991,0,0
Cristiano Ronaldo,pt POR,FW,Manchester Utd,38-081,1985,1,0.32
Connor Ronan,ie IRL,MF,Wolves,25-052,1998,0,0
Salomón Rondón,ve VEN,FW,Everton,33-223,1989,0,0.66
