Rk,Player,Nation,Pos,Squad,Age,Born,90s,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%,Matches,-9999
239,Eric Martel,de GER,MF,Köln,20-210,2002,8.5,0.12,0,0,1.06,1.06,0,0.94,1.41,1.18,0,0,0,6.59,3.18,2.35,57.4,Matches,92a16062
255,Youssoufa Moukoko,de GER,FW,Dortmund,18-005,2004,8.5,0,0,0,0.71,0.71,0.12,0.24,0.12,0.71,0,0,0,2.94,0.24,0.12,66.7,Matches,6ce43701
132,Sehrou Guirassy,gn GUI,FW,Stuttgart,26-258,1996,8.6,0.35,0.12,0.12,1.05,2.33,0.47,0.58,0,0.12,0.12,0,0,2.44,2.79,2.33,54.5,Matches,923f4dda
37,Mergim Berisha,de GER,FW,Augsburg,24-198,1998,8.7,0.8,0.11,0.11,2.07,1.15,1.03,5.86,0,0.23,0,0,0,3.45,2.76,3.91,41.4,Matches,eb6e14be
75,Kerem Demirbay,de GER,MF,Leverkusen,29-145,1993,8.7,0.23,0,0,1.72,0.92,0,4.94,0.8,0.69,0,0,0,4.83,0.34,0.69,33.3,Matches,54b4dc4e
380,Niklas Süle,de GER,DF,Dortmund,27-083,1995,8.7,0.11,0,0,0.46,0.34,0,1.15,0.69,0.92,0,0,0,5.98,1.38,1.15,54.5,Matches,e33c06cf
91,Chidera Ejuke,ng NGA,FWMF,Hertha BSC,24-327,1998,8.8,0,0,0,0.11,0.91,0.11,1.25,0.23,0.34,0,0,0,6.59,0.45,0.23,66.7,Matches,e7f3e8a7
356,André Silva,pt POR,FW,RB Leipzig,27-019,1995,8.8,0.11,0,0,0.8,2.39,0.23,0.45,0.23,0,0,0,0,2.5,0.8,1.82,30.4,Matches,3effaa34
169,Paul Jaeckel,de GER,DF,Union Berlin,24-126,1998,8.9,0.11,0,0,1.35,0.22,0,0.11,1.46,1.24,0,0,0,4.83,1.35,1.8,42.9,Matches,a93b6f4e
183,Jakub Kamiński,pl POL,FWMF,Wolfsburg,20-173,2002,8.9,0,0,0,0.56,0.34,0.11,1.8,0.34,1.24,0,0,0,2.47,0.22,0.79,22.2,Matches,202b3b68
215,Maxence Lacroix,fr FRA,DF,Wolfsburg,22-233,2000,8.9,0,0,0,0.9,0.67,0,0.11,1.57,0.45,0,0.11,0,4.16,2.7,1.35,66.7,Matches,277c49ed
